White Loch of Myrton	米尔顿怀特湖
Jones Robert & Hunt Agnes	琼斯罗伯特-亨特阿格纳斯
Bishops Castle Community Hospital	比肖普斯-克缪尼蒂-霍斯皮特尔堡
Blackpool Wyre & Fylde Community Health Services NHS Trust	布拉克浦怀厄-法尔德-克缪尼蒂-赫尔斯-瑟维克斯-内切斯-特拉斯特
North Staffordshire Nuffield Hospital The	北斯特福德希尔-纽弗菲尔德-霍斯皮特尔-赫特
Rodney House Assessment Centre	罗德尼-豪斯-厄塞斯门特-森特
Priory Hospital Lancashire The	普赖厄里-霍斯皮特尔-兰克希尔-赫特
Arran War Memorial Hospital	阿伦-沃-默莫里厄尔-霍斯皮特尔
Randolph Wemyss Memorial Hospital	兰多尔弗-韦米斯-默莫里厄尔-霍斯皮特尔
Ian Charles Cottage Hospital	因查尔斯科蒂竒-霍斯皮特尔
Patient Advice And Liaison Service	佩申特厄德韦斯-利埃森瑟维斯
Royal Leamington Spa Rehabilitation Hospital	罗伊厄尔-利明顿-斯佩-里厄比利特申-霍斯皮特尔
Walsgrave Hospitals NHS Trust	沃尔斯格雷夫-霍斯皮特尔兹-内切斯-特拉斯特
Market Harborough & District Hospital	哈伯勒-霍斯皮特尔市场区
Leicestershire Partnership NHS Trust	莱斯特希尔-帕特纳希普-内切斯-特拉斯特
St Lukes Hospital 01274 734744	斯特-卢克斯-霍斯皮特尔01274734744
Peel Court Rehab Unit	皮尔-科特-里厄布-阿尼特
St James University Hospital	斯特詹姆斯尤尼弗瑟蒂-霍斯皮特尔
Northern Centre For Cancer Treatment	北森特-福-坎瑟尔-特里特门特
Barnsley Community & Priority Services N H S Trust	邦斯利克缪尼蒂-普里奥勒蒂-瑟维克斯-恩-赫-斯-特拉斯特
South Tyneside District Hospital	南泰恩赛德-霍斯皮特尔区
Malton Norton & District Hospital	默尔顿诺顿-霍斯皮特尔区
Bridgend Industrial Estate Queens Rd	布里真德-因达斯特里厄尔-埃斯特泰特-昆兹-尔德
St James CE VA	斯特詹姆斯斯弗
Glasgor University Art Gallery	格拉斯戈-尤尼弗瑟蒂-阿特-加勒里
Jessons CE VA Primary	杰森斯-斯-弗-普赖默里
Freezland Primary School. High Grove Road OLDHAM	Error：音标生成错误
Grove House Primary.BD2 4 Myers Lane BRADFORD	格罗弗豪斯primary.bd24迈厄兹-莱恩-布雷德福德
Chapel Allerton Primary School	查珀尔-阿勒尔顿-普赖默里-斯库尔
Tockwith S Field Lane	托奎斯-斯-菲尔德-莱恩
Shrivenham Park Golf Club	什里弗纳姆-戈尔弗-克拉布公园
Carlisle Lake District Airport	卡莱尔湖区机场
Greenham Common Royal Air Force Base	格里纳姆-科门-罗伊厄尔-埃厄-福斯-贝斯
The Worsley Arms Hotel	Error：音标生成错误
The Mercure Brigstow Bristol Hotel	Error：音标生成错误
TL NORTHAMPTON UPTON WAY	特尔-诺萨姆普顿-阿普顿-韦
Days Inn South Mimms	代斯因南米姆斯
Hilton East Midlands Airport	希尔顿东米德伦兹机场
Dunadry Hotel And Country Club	邓厄德赖霍特尔-坎特里克拉布
CARNOUSTIE GOLF COURSE HOTEL AN	卡尔纳斯蒂-戈尔弗-科斯-霍特尔-安
Holiday Inn Coventry M6	霍利代-因-卡文特里m6
Holiday Inn Hemel Hempstead M1-J8	霍利代-因-赫梅尔-赫姆普斯特德m1j8
Newcastle Marriott Gosforth Park	纽卡瑟尔-马里奥特-戈斯福斯公园
Park Plaza Sherlock Holmes (Executive)	普拉泽-舍洛克-霍姆斯(executive)公园
Premier Travel Inn Docklands	普雷米厄-特拉弗尔-因-多克兰兹
Holiday Inn Kensington Forum	霍利代-因-肯辛顿-福勒姆
Crowne Plaza Manchester Airport	克朗-普拉泽-门切斯特机场
Euro Hostel Edinburgh Halls	耶罗-霍斯特尔-埃丁堡-霍尔斯
DoubleTree by Hilton Hotel Bristol North	Error：音标生成错误
Worsley Park Marriott Hotel and Country Club	Error：音标生成错误
DoubleTree by Hilton Hotel Southampton	Error：音标生成错误
47 Park Street by Marriott Grand Residence Club	马里奥特大雷齐登斯克拉布的的47公园街
Fairways Lodge & Leisure Club	费厄韦勒奇-莱热克拉布
Royal Garden Hotel - A Summit Hotel	罗伊厄尔-霍特尔-厄-霍特尔花园峰
Best Western Salford Hall	贝斯特西瑟尔福德哈尔
The Grand at Trafalgar Square	Error：音标生成错误
St Christopher's Shepherd's Bush	斯特-克里斯特弗-谢珀德-布什
Swallow White Hart Hotel	斯沃洛-怀特-哈特-霍特尔
Marriott Ncl Gosforth Pk	马里奥特-恩克尔-戈斯福斯-普克
EQ-2, The Fountain Court Group	eq2,赫特-方廷-科特-格鲁普
Hilton St Annes Manor Bracknel	希尔顿-斯特-阿尼斯-布拉克内尔庄园
De Vere Shaw Ridge Swindon	德弗里肖斯温登岭
Macdonald Forest Hills Hotel	马克多纳尔德-霍特尔森林丘陵
Campanile Dartford Se London	卡姆彭伊利-达特福德-塞-伦登
Ramada Encore Swansea Bay	拉默达-昂科-斯旺齐湾
Premier Travel Inn Heathrow	普雷米厄-特拉弗尔-因-赫斯罗
Best Western Park Hall Hotel	贝斯特西哈尔霍特尔公园
Berkeley Park Apartments By BridgeStreet	布里季斯特里特的的伯克利-厄帕特门茨公园
Ye Olde Bell Hotel	艾-欧尔德-贝尔-霍特尔
HASTINGS SLIEVE DONARD HOTEL	黑斯廷斯斯利弗-德纳尔德-霍特尔
Tl Bristol Cribbs Causeway	特尔-布里斯特尔-克里布斯-考塞韦
BEST WESTERN STOKE TRENT MOAT	贝斯特西斯托克特伦特海壕
Hall Garth Hotel And Golf Club	哈尔加斯霍特尔-戈尔弗克拉布
ROYAL COURT AND COUNTRY HOUSE	罗伊厄尔科特-坎特里豪斯
BEST WESTERN VICTORIA SQUARE	贝斯特西维多利亚广场
THE SWALLOW ARGYLL HOTEL	Error：音标生成错误
PARK VIEW GUEST HOUSE	维尤盖斯特豪斯公园
THE OLD LODGE HOTEL	Error：音标生成错误
RAVEN HALL COUNTRY HOUSE HOTEL	雷弗恩-哈尔-坎特里-豪斯-霍特尔
Best Western Reeds Hotel	贝斯特西里兹霍特尔
GREAT JOHN STREET HOTEL	大约翰霍特尔街
BEST WESTERN FOLEY ARMS HOTEL	贝斯特西福利-阿姆斯-霍特尔
LONDON GATWICK AIRPORT PREMIER	伦登-盖特威克-普雷米厄机场
DOCKLANDS EXCEL PREMIER TRAVEL	多克兰兹-埃克塞尔-普雷米厄-特拉弗尔
The Beaufort Park Hotel	Error：音标生成错误
BEST WESTERN SALFORD HALL HTL	贝斯特西瑟尔福德-哈尔-特尔
BEST WESTERN FRENSHAM POND	贝斯特西弗伦舍姆池
Best Western Crown Hotel	贝斯特西克朗霍特尔
Best Western Diplomat Hotel	贝斯特西迪普洛默特-霍特尔
Best Western New Holmwood	贝斯特西新霍尔姆伍德
St Pancras International Railway Station	斯特-潘克雷斯-因滕埃申厄尔火车站
University College London Sports Ground	尤尼弗瑟蒂-伦登-斯波茨-格朗德学院
Cantref Adventure Farm and Riding Centre	坎特里弗-厄德文彻-森特农场区
Ebbsfleet International Railway Station	埃布斯弗利特-因滕埃申厄尔火车站
The International Convention Centre	Error：音标生成错误
Stanley Rangers Rugby Club	斯坦利-雷恩哲斯-鲁格比-克拉布
Robin Hood Primary School	罗宾-胡德-普赖默里-斯库尔
Lee Moor Road/Canal Lane	利road/canal莱恩荒地
Petts Wood Railway Station	佩特茨林地火车站
Eden Park Railway Station	埃登公园火车站
Elmers End Railway Station	埃尔默斯角火车站
Kent House Railway Station	肯特豪斯火车站
Jurys Inn Edinburgh Hotel	哲里斯-因-埃丁堡-霍特尔
Radisson Edwardian Grafton Hotel	勒迪斯森-埃德瓦丁-格拉弗顿-霍特尔
Central Park Hotel Finsbury Park	中霍特尔芬斯伯里公园公园
Holiday Inn Camden Lock	霍利代-因-卡姆登-洛克
St. Giles Hotel Heathrow	st.贾尔兹-霍特尔-赫斯罗
Crowne Plaza London The City	克朗-普拉泽-伦登-赫特城
Express By Holiday Inn Edinburgh-Waterfront	Error：音标生成错误
The Cairndow Stagecoach Inn	Error：音标生成错误
Park Inn Cardiff City Centre	因卡迪弗森特公园城
The Princess On Portland	Error：音标生成错误
Coombe Lane Tramlink Stop	库姆-莱恩-特拉姆灵克-斯托普
Gravel Hill Tramlink Stop	格雷弗尔-特拉姆灵克-斯托普山
Phipps Bridge Tramlink Stop	菲普斯-特拉姆灵克-斯托普桥
New Cross Gate Railway Station	新克罗斯盖特火车站
Woolwich Arsenal DLR Station	伍利季-阿森厄尔-尔尔德站
Three Oaks Railway Station	斯里欧克斯火车站
Farningham Road Railway Station	方汉（美）路火车站
Borough Green & Wrotham Railway Station	-罗瑟姆区草地火车站
Abbey Wood Railway Station	Error：音标生成错误
Gatwick Airport Railway Station	盖特威克机场火车站
Rowlands Castle Railway Station	罗伦兹堡火车站
Dorking Deepdene Railway Station	多金迪普丁火车站
Portsmouth & Southsea Railway Station	波茨茅斯-绍斯西火车站
Fancott Arms Public House	凡索特-阿姆斯-帕布利克-豪斯
Ramsey Manor Lower School	拉姆西下斯库尔庄园
St. Mary Magdalene church	st.玛丽马格德林教堂
The Chequers public house	Error：音标生成错误
Express By Holiday Inn Dunfermline	Error：音标生成错误
Holiday Inn Express Newcastle City Centre	霍利代-因-伊克斯普雷斯-纽卡瑟尔-森特城
Express By Holiday Inn Stirling	Error：音标生成错误
Jurys Inn Milton Keynes	哲里斯-因-米尔顿-凯恩兹
Hotel Novotel Glasgow Centre	霍特尔-诺弗特尔-格拉斯高-森特
Alexandra Palace Railway Station	厄利格藏德勒-帕勒斯火车站
Bamber Bridge Railway Station	巴姆伯桥火车站
Bangor Railway Station, Northern Ireland	班厄雷尔韦station,北艾厄兰
Battersea Park Railway Station	巴特西公园火车站
Belle Vue Railway Station	贝尔维尤火车站
Bescot Stadium Railway Station	贝斯科特-斯特泰迪厄姆火车站
Blackpool Pleasure Beach Railway Station	布拉克浦普利热滩火车站
Bootle New Strand Railway Station	布特莱新斯特兰德火车站
Brinsford Parkway Railway Station	布林斯福德-帕克韦火车站
Bromley Cross Railway Station	布罗姆利克罗斯火车站
Bruce Grove Railway Station	布鲁塞格罗弗火车站
Cardiff Bay Railway Station	卡迪弗湾火车站
Cardiff Queen Street Railway Station	卡迪弗昆街火车站
Cark And Cartmel Railway Station	卡克-卡特默尔火车站
Christ's Hospital Railway Station	克里斯特-霍斯皮特尔火车站
Cobham & Stoke D'Abernon Railway Station	科布哈姆-斯托克德阿伯嫩火车站
Cradley Heath Railway Station	克雷德利荒地火车站
Cross Gates Railway Station	克罗斯盖茨火车站
Dean Lane Railway Station	丁莱恩火车站
Denham Golf Club Railway Station	登霍姆-戈尔弗-克拉布火车站
Dinas Powys Railway Station	丁埃斯波伊斯火车站
Duke Street Railway Station	迪尤克街火车站
Dumbarton East Railway Station	达姆伯顿东火车站
Edinburgh Waverley Railway Station	埃丁堡韦弗尔利火车站
Effingham Junction Railway Station	埃芬汉（美）-章克申火车站
Emerson Park Railway Station	伊默森公园火车站
Falkirk Grahamston Railway Station	福克克-格雷厄姆斯顿火车站
Forest Gate Railway Station	盖特森林火车站
Furze Platt Railway Station	弗兹普拉特火车站
Gilfach Fargoed Railway Station	吉尔法克赫-法戈伊德火车站
Great Yarmouth Railway Station	大亚茅斯火车站
Hag Fold Railway Station	哈格福尔德火车站
Hawarden Bridge Railway Station	哈弗尔登桥火车站
Hertford North Railway Station	赫特福德北火车站
Hillington East Railway Station	希灵顿东火车站
Hillington West Railway Station	希灵顿西火车站
Hopton Heath Railway Station	霍普顿荒地火车站
Hornbeam Park Railway Station	杭 比姆公园火车站
Humphrey Park Railway Station	哈姆弗里公园火车站
Hunts Cross Railway Station	汉茨克罗斯火车站
Kempton Park Railway Station	凯姆普顿公园火车站
Kents Bank Railway Station	肯茨浅滩火车站
Kiveton Park Railway Station	基弗顿公园火车站
Lelant Saltings Railway Station	利伦特索尔廷兹火车站
Llandudno Junction Railway Station	兰达德诺章克申火车站
London Road Railway Station	伦登路火车站
Long Buckby Railway Station	巴克比长火车站
Lympstone Commando Railway Station	利姆普斯通-克芒多火车站
Lympstone Village Railway Station	利姆普斯通村火车站
Manchester Airport Railway Station	门切斯特机场火车站
Manchester United FC Halt	门切斯特-尤奈蒂德-弗克-霍尔特
Mitcham Eastfields Railway Station	米特彻姆-伊斯特菲尔兹火车站
Mount Florida Railway Station	弗洛里德山火车站
New Cumnock Railway Station	新克姆诺克火车站
Newton St Cyres Railway Station	牛顿斯特凯厄斯火车站
North Woolwich Old Station Museum	北伍利季旧缪齐厄姆站
Oldham Mumps Railway Station	奥尔德姆-马姆普斯火车站
Perth Railway Station, Scotland	珀斯雷尔韦station,斯科特兰
Pollokshields East Railway Station	波洛克希尔兹东火车站
Portsmouth And Southsea Railway Station	波茨茅斯-绍斯西火车站
Queens Road Peckham Railway Station	昆兹佩克哈姆路火车站
Rectory Road Railway Station	雷克特里路火车站
Rose Hill Marple Railway Station	罗斯马普尔山火车站
St Budeaux Ferry Road Railway Station	斯特巴多渡口路火车站
St Helens Central Railway Station	斯特赫伦兹中火车站
Salford Central Railway Station	瑟尔福德中火车站
Shepherd's Bush Railway Station	谢珀德布什火车站
Stourbridge Junction Railway Station	斯图尔布里奇-章克申火车站
Strawberry Hill Railway Station	斯特罗伯里山火车站
Taffs Well Railway Station	塔弗斯井火车站
Tame Bridge Parkway Railway Station	特泰姆帕克韦桥火车站
Thorne North Railway Station	杭 伊特北火车站
Thorne South Railway Station	杭 伊特南火车站
Upper Tyndrum Railway Station	上廷德勒姆火车站
Upper Halliford Railway Station	上哈利福德火车站
Waltham Cross Railway Station	沃瑟姆克罗斯火车站
Wandsworth Town Railway Station	旺德斯沃思镇火车站
West Allerton Railway Station	西阿勒尔顿火车站
West Hampstead Railway Station	西哈姆普斯特德火车站
West Runton Railway Station	西兰顿火车站
Wylde Green Railway Station	威尔德草地火车站
Boston Manor Underground Station	波士顿安德格朗德庄园站
Goodge Street Underground Station	古奇安德格朗德街站
Ladbroke Grove Underground Station	拉德布罗克-格罗弗-安德格朗德站
Lambeth North Underground Station	拉姆伯斯北安德格朗德站
London Bridge Underground Station	伦登安德格朗德桥站
Manor House Underground Station	豪斯安德格朗德庄园站
